"reaction_type","content_id","datetime","content_type","category","sentiment","score"
"adore","d61c4f76-99c6-4cd7-aaad-b3561880aa26","2021-02-02 22:33:53","photo","technology","positive",72
"adore","8ea001b0-f13b-420f-b0f2-0cc35bdcd152","2021-05-23 20:07:51","video","studying","positive",72
"adore","96209724-37a8-475b-b80a-03e96a7c33b1","2020-07-25 15:40:42","GIF","fitness","positive",72
"adore","dd2f8912-9b97-40cb-ac5f-215f98d4d733","2021-06-10 12:14:52","GIF","fitness","positive",72
"adore","87bf6cd4-f955-418b-aa84-9bfffcb4abeb","2021-02-16 09:27:09","GIF","healthy eating","positive",72
"adore","0289b7bc-bc95-4f1d-83fe-9ca662194158","2021-02-15 19:50:28","audio","tennis","positive",72
"adore","019b61f4-926c-438e-adaf-6119c5eab752","2020-12-05 09:06:29","photo","fitness","positive",72
"adore","f9e9544e-16b5-416f-9aec-80a723d1e64c","2020-08-13 21:25:33","video","culture","positive",72
"adore","674507f9-c555-4876-89c7-c06b6db561c0","2021-03-10 12:08:46","audio","animals","positive",72
"adore","70047f87-af62-4674-bf30-a03c9ee9db09","2020-07-06 06:34:43","video","food","positive",72
"adore","2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7","2021-03-17 07:37:15","photo","animals","positive",72
"adore","25c8f882-464d-4465-9ed2-e7f7706c1775","2020-09-08 00:32:25","audio","healthy eating","positive",72
"adore","e4827a5c-c604-4aad-b7ed-b396b3601b74","2021-03-11 15:52:17","photo","education","positive",72
"adore","89cb4504-fccd-40f4-945e-410f74ee4735","2020-10-03 18:30:41","photo","animals","positive",72
"adore","c2d6e707-f00e-4fa4-a193-eb36272f58df","2020-09-30 20:36:30","GIF","veganism","positive",72
"adore","ab4c4756-1c50-4136-bad9-3216e01ffac2","2021-04-23 02:50:36","audio","fitness","positive",72
"adore","25290b06-ca05-43eb-8e54-e345a41ddba7","2020-07-13 23:15:58","photo","education","positive",72
"adore","2669dbfc-65d4-4770-a916-e6507f881131","2021-03-18 04:12:40","photo","science","positive",72
"adore","aa6c9668-7455-4a4c-9915-f7d4cb56c8c6","2021-05-05 00:26:32","photo","animals","positive",72
"adore","258bb775-3c35-4eec-90f3-8b75a52e466a","2021-03-12 22:52:15","photo","education","positive",72
"adore","b9bfb48f-a6b6-4c15-869a-1acceea04fca","2020-08-04 14:01:10","video","soccer","positive",72
"adore","0411a1da-97e1-44b6-945d-06b4682ba802","2020-08-17 17:08:26","audio","technology","positive",72
"adore","2c511a63-5eb5-422f-8483-c9fcf9a29b55","2021-05-23 22:02:49","GIF","technology","positive",72
"adore","0411a1da-97e1-44b6-945d-06b4682ba802","2020-11-23 09:13:34","audio","technology","positive",72
"adore","6cbac852-fec6-49e2-95db-d62edeb477d0","2020-12-30 23:17:46","video","healthy eating","positive",72
"adore","853e37de-5ba2-447a-a0dd-a1b4407e5ec4","2021-02-24 22:50:41","photo","travel","positive",72
"adore","bda0b065-7f8b-4d52-b7e9-fcc375cdab08","2020-09-27 17:24:03","photo","travel","positive",72
"adore","c7066a17-2e12-49d2-bb9e-c8967051f490","2020-10-23 06:04:44","GIF","public speaking","positive",72
"adore","d706b190-216c-4103-9107-fb7304766d68","2021-05-01 01:59:40","video","cooking","positive",72
"adore","520450a4-c852-4a4e-9383-30657dd07533","2020-11-09 02:12:42","photo","public speaking","positive",72
"adore","1e773c55-ec7e-47f2-916d-98d0b778a048","2021-04-16 15:02:41","photo","food","positive",72
"adore","6ee96d2e-a110-4e43-ab89-b5577b7b3dab","2021-03-12 06:32:13","GIF","culture","positive",72
"adore","9489565a-a899-4693-ad48-369f86b4b862","2021-02-15 07:48:39","GIF","studying","positive",72
"adore","6796d3e9-ee98-47cb-b057-90cfaf6ebcbb","2021-02-28 10:23:26","audio","technology","positive",72
"adore","4e659bd8-44b6-41a3-893c-c528474a29c9","2020-12-30 12:23:22","video","education","positive",72
"adore","80f6df7f-517f-4f0e-b6cb-004d61ad2bc8","2021-01-04 21:12:41","photo","animals","positive",72
"adore","6fc7f722-0a93-4420-8376-09d6536ecef8","2021-04-18 18:41:59","GIF","fitness","positive",72
"adore","9531f7f8-d0cc-4e42-9cbb-94d93692653f","2021-01-17 05:15:27","photo","soccer","positive",72
"adore","d72ea14e-16fb-4e2d-acf1-59a29dfa21df","2021-04-08 07:26:05","audio","public speaking","positive",72
"adore","2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7","2020-10-12 14:17:09","photo","animals","positive",72
"adore","34a3747a-0b77-42f6-ae19-87c38b94b674","2021-04-29 09:59:11","GIF","science","positive",72
"adore","d4813cf8-87d5-421e-81f7-c5d43c25c62a","2021-04-02 15:25:12","GIF","technology","positive",72
"adore","3d02ae44-c8f2-4d2d-a64c-9355a4f46430","2020-09-10 11:51:48","GIF","fitness","positive",72
"adore","aa9ea032-0fea-42c3-88d9-666685d4b32b","2020-09-30 07:16:45","GIF","veganism","positive",72
"adore","b13bec8c-4469-4cc8-8650-7057eb95d3ee","2020-10-07 13:14:37","GIF","travel","positive",72
"adore","46219a74-c2db-4479-a96a-d3ee54d1ea7f","2020-10-31 06:14:48","GIF","soccer","positive",72
"adore","72167d71-578d-428f-af6d-5a8a92e677af","2020-10-21 02:58:36","photo","animals","positive",72
"adore","259cd56f-b017-4a41-81a7-f26ce9b35092","2021-05-06 09:35:08","video","culture","positive",72
"adore","1a5b511a-7199-4f05-988a-1f1d0380ca11","2020-09-10 21:22:43","GIF","travel","positive",72
"adore","724b9f31-8bdc-4152-b93f-4d3e457201ef","2020-12-31 20:55:31","audio","animals","positive",72
"adore","a6cace19-96eb-40b3-b6fb-2a1a4e444dde","2021-03-12 13:13:03","photo","cooking","positive",72
"adore","6796d3e9-ee98-47cb-b057-90cfaf6ebcbb","2021-01-20 11:53:20","audio","technology","positive",72
"adore","74989207-b147-4a13-89b8-f0d868dfdf4a","2021-05-24 18:44:06","audio","science","positive",72
"adore","3dc03a86-f481-42fa-bf43-a7bcf3b6572e","2021-04-25 21:06:06","audio","fitness","positive",72
"adore","9a2c328f-16aa-490c-8ca2-c7deaa90db3f","2020-12-21 13:03:26","photo","culture","positive",72
"adore","457301ee-3e87-40d8-8b82-ea4e1fa90e39","2020-11-28 06:12:43","GIF","healthy eating","positive",72
"adore","67766c84-7d8d-46e2-b2e8-8b0f8dc27193","2020-12-06 11:54:26","photo","veganism","positive",72
"adore","457301ee-3e87-40d8-8b82-ea4e1fa90e39","2021-04-20 02:53:48","GIF","healthy eating","positive",72
"adore","43da458b-66fe-4723-996c-57dcfad67edf","2020-09-10 09:06:55","GIF","food","positive",72
"adore","fa39acec-96b1-441d-8f85-16dfb44bdfba","2021-02-19 10:00:01","photo","culture","positive",72
"adore","1a5b511a-7199-4f05-988a-1f1d0380ca11","2021-05-19 03:26:54","GIF","travel","positive",72
"adore","9ee8836d-af4b-46ad-8869-4e0b1dedff7d","2020-11-14 10:03:02","audio","tennis","positive",72
"adore","279fdb2b-e9ca-4531-b55f-c8fe294083cd","2020-11-21 01:01:33","video","healthy eating","positive",72
"adore","041bf6c9-8b33-4ca0-a787-762eb8837d0c","2020-10-12 22:42:57","GIF","food","positive",72
"adore","b62831cc-7447-465b-9c58-1fc659b17310","2020-11-07 15:28:13","audio","animals","positive",72
"adore","31d142d9-4557-4613-bce5-cfe63cd0a3cf","2020-09-16 00:46:26","photo","soccer","positive",72
"adore","026973ef-4b73-4901-9160-bc9e04516057","2020-10-14 07:33:22","audio","culture","positive",72
"adore","2920dccb-e06f-49fc-8049-b6d4164dfe84","2021-02-14 11:57:43","GIF","veganism","positive",72
"adore","a8d3e5b8-7838-477c-82ce-4c90029e56ce","2020-12-20 22:44:28","photo","public speaking","positive",72
"adore","2b7f2d2b-2a0b-4d33-ada9-ee9629742dff","2020-07-12 10:54:50","photo","healthy eating","positive",72
"adore","9ef39aa2-60f9-4e4b-b666-c6cb97015503","2021-04-18 19:32:55","GIF","travel","positive",72
"adore","54acd843-1e09-4b30-a80a-b9e0295ff269","2021-01-05 05:50:01","GIF","tennis","positive",72
"adore","d374af60-1487-4ee4-ac6a-fcc59ae6ea45","2020-11-02 23:10:03","photo","dogs","positive",72
"adore","cebae43b-4f77-4689-86e0-66fb107d5eef","2020-07-31 07:24:11","GIF","culture","positive",72
"adore","475541da-3402-4d0e-9df5-0da198f8fc9c","2021-05-08 04:21:54","video","culture","positive",72
"adore","331fad49-0e33-4676-8e2d-51ec52e86625","2020-11-26 04:55:07","audio","education","positive",72
"adore","83d08b29-6cdc-436c-89a6-20c3d60f7e73","2021-03-14 01:17:59","GIF","soccer","positive",72
"adore","6c8d057d-756a-41dd-afef-bf73adffbdf4","2020-10-11 06:20:27","audio","food","positive",72
"adore","67766c84-7d8d-46e2-b2e8-8b0f8dc27193","2020-07-11 05:19:14","photo","veganism","positive",72
"adore","cd568dd1-70cf-45d6-b495-10eebff8c920","2020-09-08 05:31:15","photo","dogs","positive",72
"adore","4fd0ef9a-008d-4b61-9a78-4b0257281140","2021-06-03 06:12:42","audio","technology","positive",72
"adore","bc8024c3-c51e-4875-b8df-419e9848f492","2020-06-20 06:31:00","GIF","veganism","positive",72
"adore","ab07c995-56e6-462c-9325-bd4a2ffd8c39","2020-08-15 15:18:49","GIF","tennis","positive",72
"adore","cf1e8c1a-23eb-4426-9f58-002fb1b53e91","2021-05-14 14:33:17","GIF","cooking","positive",72
"adore","eec5dae8-e4d0-4b15-80a9-ac55352cb5ca","2020-09-28 02:11:23","GIF","cooking","positive",72
"adore","2eb32cf2-da20-4b27-b4b6-c91716f528a5","2021-06-01 00:03:26","audio","veganism","positive",72
"adore","50c9237a-541c-4f10-a2be-7cbe076b2012","2020-10-13 19:10:33","GIF","travel","positive",72
"adore","55d5d3f9-566c-4fcc-b24e-02ca826cce58","2020-11-26 09:12:39","photo","science","positive",72
"adore","8e0f1d3e-b588-44de-a423-8224eb26aa99","2021-05-22 07:06:11","audio","healthy eating","positive",72
"adore","0f1cb5c0-ac2a-4c8a-9fb9-115d60493247","2020-06-23 23:33:47","GIF","veganism","positive",72
"adore","edc4a60a-b5ba-4178-b99e-9d34ed92599c","2020-09-18 02:35:05","audio","technology","positive",72
"adore","6aa06c00-d796-43c3-816d-70f21fe58f80","2021-05-27 13:22:56","audio","science","positive",72
"adore","34a3747a-0b77-42f6-ae19-87c38b94b674","2020-07-02 11:39:05","GIF","science","positive",72
"adore","a38cf15e-6a1d-42e8-bee7-0eeb456c700b","2020-09-09 19:40:12","video","travel","positive",72
"adore","89cb4504-fccd-40f4-945e-410f74ee4735","2021-05-08 17:29:47","photo","animals","positive",72
"adore","f0d1b3ed-f1dd-4a09-b17a-b0f241932fbb","2020-07-10 07:47:38","audio","studying","positive",72
"adore","65545cfb-59bb-4dc1-a38b-82f268210da2","2020-08-12 07:36:28","audio","technology","positive",72
"adore","02fa1c4f-722d-46d2-a85e-e5b136b5f3bc","2021-05-04 21:19:02","video","cooking","positive",72
"adore","24f994fa-51d4-4e5e-bdac-79de67e7afbb","2021-01-02 07:59:38","video","food","positive",72
"adore","21dfb75d-9d98-4627-b074-f4372025d23f","2020-12-02 12:54:16","GIF","culture","positive",72
"adore","4304a382-1527-4e7d-af7b-691d976f9ad4","2021-04-24 19:27:39","video","tennis","positive",72
"adore","259cd56f-b017-4a41-81a7-f26ce9b35092","2021-04-09 03:19:26","video","culture","positive",72
"adore","b2344491-76af-4b2c-b569-e9af85298b30","2021-01-28 17:31:34","video","culture","positive",72
"adore","c4cc899d-4c35-47fd-9710-8e2dea9782c9","2021-05-18 10:36:20","photo","science","positive",72
"adore","46bd9a52-6547-457f-87fa-0e434e5bc61c","2020-08-27 07:49:53","photo","fitness","positive",72
"adore","b1c49557-0623-4fb2-8f22-1453286fedad","2021-05-09 20:09:22","video","healthy eating","positive",72
"adore","bb3901bd-a3d9-4f45-8b0c-0548c36385d2","2020-07-14 01:18:14","audio","fitness","positive",72
"adore","83d08b29-6cdc-436c-89a6-20c3d60f7e73","2021-02-21 21:55:09","GIF","soccer","positive",72
"adore","0ac85d23-c8ba-49ed-bec1-493b960a88c0","2020-08-18 06:40:29","photo","science","positive",72
"adore","964173f3-7019-4758-9ab9-df71585aa965","2021-05-28 12:42:19","audio","veganism","positive",72
"adore","25c36533-1de5-4d82-879b-86180503cf8d","2021-02-25 01:21:16","photo","travel","positive",72
"adore","388bd9db-9d10-4f47-87c4-6db46e83bc95","2021-04-15 17:03:31","video","education","positive",72
"adore","8caec934-9519-47de-8dd4-b6d65e279661","2020-11-24 12:15:28","audio","public speaking","positive",72
"adore","d706b190-216c-4103-9107-fb7304766d68","2020-11-04 00:06:39","video","cooking","positive",72
"adore","8e3896e3-2f84-4b47-9365-fb562c9ed730","2021-01-03 15:52:57","video","public speaking","positive",72
"adore","4e7535a7-4547-4da5-952e-607442ebed79","2021-06-04 23:08:05","GIF","dogs","positive",72
"adore","9531f7f8-d0cc-4e42-9cbb-94d93692653f","2021-03-18 10:31:42","photo","soccer","positive",72
"adore","1bbfe52f-37e2-4874-8422-161a60b331e1","2020-09-11 18:14:50","GIF","culture","positive",72
"adore","34f73132-fff6-4f01-a5ec-4b4b66461fc7","2021-04-27 04:18:37","photo","fitness","positive",72
"adore","2eb32cf2-da20-4b27-b4b6-c91716f528a5","2020-12-07 19:24:23","audio","veganism","positive",72
"adore","d4012724-c8bf-4db3-8670-dfa1f630a72a","2021-04-21 04:32:54","photo","studying","positive",72
"adore","42a0f482-d3a8-4216-ba0b-1459abf854a6","2021-01-22 16:57:04","GIF","culture","positive",72
"adore","049c926f-9095-4bb2-a464-666a68257f61","2020-09-27 12:14:29","video","dogs","positive",72
"adore","b62831cc-7447-465b-9c58-1fc659b17310","2020-11-13 07:17:27","audio","animals","positive",72
"adore","edea43f3-1541-4e42-8419-d1cdf749025c","2021-02-26 14:18:23","photo","cooking","positive",72
"adore","e611ee64-7ada-428d-aa37-94c8c0782a91","2020-08-05 01:34:46","GIF","cooking","positive",72
"adore","476e3ce0-3291-4c77-b3a3-deabee114efc","2021-05-03 04:01:42","audio","healthy eating","positive",72
"adore","d624685f-99a7-4aee-902b-283f5cf85ada","2021-05-11 11:21:03","photo","studying","positive",72
"adore","bfa4e11c-9d72-49b9-bd43-49d95c2e5181","2021-03-25 13:52:48","photo","veganism","positive",72
"adore","888660b0-7dd8-4983-858a-101cd03d392b","2020-09-08 15:48:13","video","science","positive",72
"adore","1a5b511a-7199-4f05-988a-1f1d0380ca11","2020-08-15 22:56:56","GIF","travel","positive",72
"adore","e4fd43f5-c0cb-47cd-bc41-1e07a8081323","2020-06-24 23:08:51","GIF","soccer","positive",72
"adore","75747dd7-8dad-4f2f-9209-62765223f3af","2020-10-25 20:10:54","photo","fitness","positive",72
"adore","afe1fed5-5639-45c7-89f8-ce9d1078c910","2021-03-03 18:58:31","audio","cooking","positive",72
"adore","c75dfa33-cd71-486f-b4e1-f5e9133ae873","2021-01-12 23:45:53","photo","veganism","positive",72
"adore","0411a1da-97e1-44b6-945d-06b4682ba802","2021-04-10 09:25:47","audio","technology","positive",72
"adore","30c8a141-2c2e-4272-8854-ff5673509652","2020-08-03 19:21:36","audio","culture","positive",72
"adore","985f4b4f-de40-4a4e-a090-01e100be42e9","2021-06-18 02:06:47","GIF","travel","positive",72
"adore","89cf06bc-e921-4cfd-bd16-d071757d90a2","2021-01-08 08:10:13","video","animals","positive",72
"adore","dcaa5091-1246-4d3c-aed8-dcd8e1da69cc","2020-10-07 22:28:22","photo","science","positive",72
"adore","96209724-37a8-475b-b80a-03e96a7c33b1","2021-03-28 19:25:02","GIF","fitness","positive",72
"adore","509a5fb0-9bb2-4809-9f90-18ae007acc94","2020-06-26 19:40:53","video","dogs","positive",72
"adore","6b09861c-712e-46e6-a2a5-72e4b3878767","2020-10-20 10:54:30","photo","studying","positive",72
"adore","259cd56f-b017-4a41-81a7-f26ce9b35092","2021-03-12 14:08:26","video","culture","positive",72
"adore","baadf2d9-ab5b-458d-a3cf-37c39a69be50","2021-01-09 06:54:44","GIF","technology","positive",72
"adore","af7971aa-5fd5-41d3-b6c3-583704a705a2","2021-05-21 19:19:11","video","healthy eating","positive",72
"adore","888660b0-7dd8-4983-858a-101cd03d392b","2021-04-14 08:17:00","video","science","positive",72
"adore","10baeb43-5bb2-49df-9644-f91a3c77725a","2021-01-13 15:44:22","photo","food","positive",72
"adore","4dd4da35-453e-466d-95ca-b1a7710fac1f","2020-09-23 08:46:52","GIF","technology","positive",72
"adore","78713905-362f-4a87-9671-adab5f1e0e67","2020-09-10 05:43:57","audio","dogs","positive",72
"adore","520450a4-c852-4a4e-9383-30657dd07533","2020-08-07 15:44:03","photo","public speaking","positive",72
"adore","0da2523f-acc4-4687-9844-45eaa5e90c65","2020-12-04 08:29:01","video","technology","positive",72
"adore","5d3d5107-2404-4fb8-a9b6-3c8428492f64","2021-03-02 09:05:13","video","studying","positive",72
"adore","d374af60-1487-4ee4-ac6a-fcc59ae6ea45","2021-03-11 05:41:38","photo","dogs","positive",72
"adore","964173f3-7019-4758-9ab9-df71585aa965","2021-02-08 21:52:05","audio","veganism","positive",72
"adore","5b379d75-649b-426f-b420-4e0b6e4a0e3d","2020-09-10 01:46:07","video","soccer","positive",72
"adore","2d7084fb-b457-4813-829f-73911025eeaa","2020-12-19 00:44:57","GIF","cooking","positive",72
"adore","7fe36d94-8867-4719-9c62-60b077cf5973","2020-11-16 10:46:01","photo","travel","positive",72
"adore","31d142d9-4557-4613-bce5-cfe63cd0a3cf","2020-07-17 16:18:18","photo","soccer","positive",72
"adore","afe1fed5-5639-45c7-89f8-ce9d1078c910","2021-05-28 09:58:51","audio","cooking","positive",72
"adore","457301ee-3e87-40d8-8b82-ea4e1fa90e39","2020-12-23 12:51:18","GIF","healthy eating","positive",72
"adore","c0ea9b69-639e-42fe-8aa5-67f46036a17c","2020-08-21 10:30:52","photo","animals","positive",72
"adore","c24f4499-faae-4ff0-baf1-4be6a9061aa1","2021-01-27 17:35:42","audio","animals","positive",72
"adore","46c69019-89b5-4a13-9b8a-2942ca22837f","2021-02-15 02:01:25","video","science","positive",72
"adore","77b49477-2f3c-455a-b8f1-09ec2e553174","2020-12-05 01:01:28","video","cooking","positive",72
"adore","90418e93-aa5a-4608-866e-25464b617c9b","2020-07-28 20:09:22","audio","science","positive",72
"adore","4bfc9824-aaeb-4695-8195-945686795b30","2020-11-18 04:01:58","video","public speaking","positive",72
"adore","9108109e-c521-4528-9d90-4c804cbb866d","2020-07-06 23:33:08","audio","veganism","positive",72
"adore","b0dd04df-83a1-470f-80ad-bb173a5e44bc","2020-12-19 16:25:56","photo","cooking","positive",72
"adore","b47f0569-8d01-4ac4-a4ed-0fcc94cb96fc","2020-06-23 07:48:02","audio","studying","positive",72
"adore","9bc09268-79e8-4402-ba22-ffd1e45fa66d","2021-05-09 21:02:48","GIF","travel","positive",72
"adore","40727608-362e-4e10-970f-2b5a5f8c37c1","2020-12-15 17:11:02","photo","science","positive",72
"adore","d75016e9-9817-47e7-a2f9-dbfae392d3d6","2020-07-29 08:55:16","GIF","culture","positive",72
"adore","457301ee-3e87-40d8-8b82-ea4e1fa90e39","2020-07-25 18:29:59","GIF","healthy eating","positive",72
"adore","295ff9f6-64f3-4704-9272-4a932f11d709","2020-08-03 23:45:48","video","travel","positive",72
"adore","9c066976-30e0-405e-9973-5c4342271a70","2021-02-28 09:59:27","audio","tennis","positive",72
"adore","cebae43b-4f77-4689-86e0-66fb107d5eef","2021-05-15 15:48:16","GIF","culture","positive",72
"adore","258bb775-3c35-4eec-90f3-8b75a52e466a","2020-09-18 16:25:41","photo","education","positive",72
"adore","72878c11-38cc-4442-bc81-7eeef47c531c","2021-05-10 05:36:57","GIF","animals","positive",72
"adore","0c91753a-0bb4-4b77-a919-96c2f998ad91","2020-12-09 12:01:52","GIF","fitness","positive",72
"adore","94be0dfb-a23a-4426-9c3c-e4db1fd914b5","2021-01-24 21:43:53","video","public speaking","positive",72
"adore","a1249a46-6362-4a73-a1e9-3b5d236cdd73","2020-08-25 15:12:06","GIF","studying","positive",72
"adore","16f8b629-5173-420f-9c8b-577313e9e128","2020-12-15 12:57:09","video","healthy eating","positive",72
"adore","2664a681-e732-422f-b529-02fabb6ec9ab","2020-09-16 07:59:49","audio","healthy eating","positive",72
"adore","ef619e47-1e88-4e0f-8d91-590cd9ecc137","2020-12-30 16:59:46","photo","animals","positive",72
"adore","f0d1b3ed-f1dd-4a09-b17a-b0f241932fbb","2020-09-18 08:24:01","audio","studying","positive",72
"adore","76898916-4024-4c32-909b-dd240879d76a","2021-04-27 01:37:46","GIF","animals","positive",72
"adore","c9ab41d2-5728-4d94-b16a-1e9b7af9b21d","2020-08-11 14:40:07","GIF","veganism","positive",72
"adore","5444a751-c58b-456a-9fc9-1e4f292f2920","2021-02-12 21:45:40","GIF","cooking","positive",72
"adore","3c510b35-43e2-4e84-a805-86c5ebddc4cf","2021-03-19 22:07:36","audio","studying","positive",72
"adore","b62831cc-7447-465b-9c58-1fc659b17310","2021-02-03 19:14:43","audio","animals","positive",72
"adore","84a81261-6334-4ba5-978d-26a45d28a44f","2021-03-11 09:45:57","audio","animals","positive",72
"adore","31d142d9-4557-4613-bce5-cfe63cd0a3cf","2020-12-29 04:40:14","photo","soccer","positive",72
"adore","3c6354b3-7e8a-4d8c-bb80-33f17c17bd32","2020-10-05 08:07:43","audio","cooking","positive",72
"adore","af6c5966-dfe7-460b-9853-62ed9f18aed4","2021-06-16 07:03:32","photo","technology","positive",72
"adore","87958932-6baf-4339-b01b-6112d9b180ed","2020-07-26 17:14:00","audio","culture","positive",72
"adore","0fbdd670-a266-4805-9bbc-c5ad73cf97b3","2020-09-04 21:01:59","photo","technology","positive",72
"adore","6547f69d-891d-4e1c-bd69-fc8735b8fca8","2021-03-30 22:06:27","video","science","positive",72
"adore","1c6be4a3-85ae-48da-81ff-44262690af51","2021-06-16 11:07:19","audio","education","positive",72
"adore","83d08b29-6cdc-436c-89a6-20c3d60f7e73","2021-03-22 00:24:11","GIF","soccer","positive",72
"adore","360df5a1-8118-4972-a5d0-27033dba1f1c","2020-10-24 20:26:08","video","fitness","positive",72
"adore","dc1d4628-4edc-47c2-8da7-0b3d16ef5ddf","2020-07-06 08:50:13","video","technology","positive",72
"adore","96209724-37a8-475b-b80a-03e96a7c33b1","2021-06-03 11:11:46","GIF","fitness","positive",72
"adore","14ebfb59-8d36-4857-b8e2-b6d2fb3b243d","2020-06-22 18:50:49","GIF","studying","positive",72
